Location,Industry, Fuels consumed,Fuels produced,Energy consumption       ,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19
tas,Coal_mining ,    Diesel                    ,,,,,,,,,,,,,,,,,,,,,
tas,Coal_mining ,    Fuel oil               ,,,,,,,,,,,,,,,,,,,,,
tas,Coal_mining ,    Petroleum products nec ,,,,,,,,,,,,,,,,,,,,,
tas,Coal_mining ,    Solvents               ,,,,,,,,,,,,,,,,,,,,,
tas,Coal_mining ,    Lubricants and greases   ,,,,,,,,,,,,,,,,,,,,,
tas,Coal_mining ,    Bitumen                ,,,,,,,,,,,,,,,,,,,,,
tas,Coal_mining ,    Natural gas            ,,,,,,,,,,,,,,,,,,,,,
tas,Coal_mining ,    Town gas               ,,,,,,,,,,,,,,,,,,,,,
tas,Coal_mining ,    Solar energy           ,,,,,,,,,,,,,,,,,,,,,
tas,Coal_mining ,    Electricity            ,,,,,,,,,,,,,,,,,,,,,
tas,Coal_mining ,    Liquid/gas Biofuels               ,,,,,,,,,,,,,,,,,,,,,
tas,Coal_mining ,,,,,,,,,,,,,,,,,,,,,,
tas,Coal_mining ,,    Coke                   ,,,,,,,,,,,,,,,,,,,,
tas,Coal_mining ,,    Coal byproducts        ,,,,,,,,,,,,,,,,,,,,
tas,Coal_mining ,,    Brown coal briquettes  ,,,,,,,,,,,,,,,,,,,,
tas,Coal_mining ,,    Refinery feedstock     ,,,,,,,,,,,,,,,,,,,,
tas,Coal_mining ,,    LPG                    ,,,,,,,,,,,,,,,,,,,,
tas,Coal_mining ,,    Auto gasoline-leaded   ,,,,,,,,,,,,,,,,,,,,
tas,Coal_mining ,,    Auto gasoline-unleaded ,,,,,,,,,,,,,,,,,,,,
tas,Coal_mining ,,    Aviation gasoline      ,,,,,,,,,,,,,,,,,,,,
tas,Coal_mining ,,    Aviation turbine fuel  ,,,,,,,,,,,,,,,,,,,,
tas,Coal_mining ,,    Kerosene and Heating oil                    ,,,,,,,,,,,,,,,,,,,,
tas,Coal_mining ,,    Diesel                    ,,,,,,,,,,,,,,,,,,,,
tas,Coal_mining ,,    Fuel oil               ,,,,,,,,,,,,,,,,,,,,
tas,Coal_mining ,,    Petroleum products nec ,,,,,,,,,,,,,,,,,,,,
tas,Coal_mining ,,    Solvents               ,,,,,,,,,,,,,,,,,,,,
tas,Coal_mining ,,    Lubricants and greases   ,,,,,,,,,,,,,,,,,,,,
tas,Coal_mining ,,    Bitumen                ,,,,,,,,,,,,,,,,,,,,
tas,Coal_mining ,,    Town gas               ,,,,,,,,,,,,,,,,,,,,
tas,Coal_mining ,,    Thermal electricity    ,,,,,,,,,,,,,,,,,,,,
tas,Coal_mining ,,,Energy consumption,,,,,,,,,,,,,,,,,,,
tas,Oil_and_gas,,,,,,,,,,,,,,,,,,,,,,
tas,Oil_and_gas,,,,,,,,,,,,,,,,,,,,,,
tas,Oil_and_gas,,,,,,,,,,,,,,,,,,,,,,
tas,Oil_and_gas,    Black coal             ,,,,,,,,,,,,,,,,,,,,,
tas,Oil_and_gas,    Brown coal             ,,,,,,,,,,,,,,,,,,,,,
tas,Oil_and_gas,    Coke                   ,,,,,,,,,,,,,,,,,,,,,
tas,Oil_and_gas,    Coal byproducts        ,,,,,,,,,,,,,,,,,,,,,
tas,Oil_and_gas,    Brown coal briquettes,,,,,,,,,,,,,,,,,,,,,
tas,Oil_and_gas,"    Wood, woodwaste        ",,,,,,,,,,,,,,,,,,,,,
tas,Oil_and_gas,    Bagasse                ,,,,,,,,,,,,,,,,,,,,,
tas,Oil_and_gas,    Crude Oil and Other Refinery Feedstock,,,,,,,,,,,,,,,,,,,,,
tas,Oil_and_gas,    LPG                    ,,,,,,,,,,,,,,,,,,,,,
tas,Oil_and_gas,    Auto gasoline-leaded   ,,,,,,,,,,,,,,,,,,,,,
tas,Oil_and_gas,    Auto gasoline-unleaded ,,,,,,,,,,,,,,,,,,,,,
tas,Oil_and_gas,    Aviation gasoline      ,,,,,,,,,,,,,,,,,,,,,
tas,Oil_and_gas,    Aviation turbine fuel  ,,,,,,,,,,,,,,,,,,,,,
tas,Oil_and_gas,    Kerosene and Heating oil  ,,,,,,,,,,,,,,,,,,,,,
tas,Oil_and_gas,    Diesel                    ,,,,,,,,,,,,,,,,,,,,,
tas,Oil_and_gas,    Fuel oil               ,,,,,,,,,,,,,,,,,,,,,
tas,Oil_and_gas,    Petroleum products nec ,,,,,,,,,,,,,,,,,,,,,
tas,Oil_and_gas,    Solvents               ,,,,,,,,,,,,,,,,,,,,,
tas,Oil_and_gas,    Lubricants and greases   ,,,,,,,,,,,,,,,,,,,,,
tas,Oil_and_gas,    Bitumen                ,,,,,,,,,,,,,,,,,,,,,
tas,Oil_and_gas,    Natural gas            ,,,,,,,,,,,,,,,,,,,,,
tas,Oil_and_gas,    Town gas               ,,,,,,,,,,,,,,,,,,,,,
tas,Oil_and_gas,    Solar energy           ,,,,,,,,,,,,,,,,,,,,,
tas,Oil_and_gas,    Electricity            ,,,,,,,,,,,,,,,,,,,,,
tas,Oil_and_gas,    Liquid/gas Biofuels               ,,,,,,,,,,,,,,,,,,,,,
tas,Oil_and_gas,,,,,,,,,,,,,,,,,,,,,,
tas,Oil_and_gas,,    Coke                   ,,,,,,,,,,,,,,,,,,,,
tas,Oil_and_gas,,    Coal byproducts        ,,,,,,,,,,,,,,,,,,,,
tas,Oil_and_gas,,    Brown coal briquettes  ,,,,,,,,,,,,,,,,,,,,
tas,Oil_and_gas,,    Refinery feedstock     ,,,,,,,,,,,,,,,,,,,,
tas,Oil_and_gas,,    LPG                    ,,,,,,,,,,,,,,,,,,,,
tas,Oil_and_gas,,    Auto gasoline-leaded   ,,,,,,,,,,,,,,,,,,,,
tas,Oil_and_gas,,    Auto gasoline-unleaded ,,,,,,,,,,,,,,,,,,,,
tas,Oil_and_gas,,    Aviation gasoline      ,,,,,,,,,,,,,,,,,,,,
tas,Oil_and_gas,,    Aviation turbine fuel  ,,,,,,,,,,,,,,,,,,,,
tas,Oil_and_gas,,    Kerosene and Heating oil                    ,,,,,,,,,,,,,,,,,,,,
tas,Oil_and_gas,,    Diesel                    ,,,,,,,,,,,,,,,,,,,,
tas,Oil_and_gas,,    Fuel oil               ,,,,,,,,,,,,,,,,,,,,
tas,Oil_and_gas,,    Petroleum products nec ,,,,,,,,,,,,,,,,,,,,
tas,Oil_and_gas,,    Solvents               ,,,,,,,,,,,,,,,,,,,,
tas,Oil_and_gas,,    Lubricants and greases   ,,,,,,,,,,,,,,,,,,,,
tas,Oil_and_gas,,    Bitumen                ,,,,,,,,,,,,,,,,,,,,
tas,Oil_and_gas,,    Town gas               ,,,,,,,,,,,,,,,,,,,,
tas,Oil_and_gas,,    Thermal electricity    ,,,,,,,,,,,,,,,,,,,,
tas,Oil_and_gas,,,Energy consumption,,,,,,,,,,,,,,,,,,,
tas,Other_mining ,,,,,,,,,,,,,,,,,,,,,,
tas,Other_mining ,,,,,,,,,,,,,,,,,,,,,,
tas,Other_mining ,,,,,,,,,,,,,,,,,,,,,,
tas,Other_mining ,    Black coal             ,,,,,,,,,,,,,,,,,,,,,
tas,Other_mining ,    Brown coal             ,,,,,,,,,,,,,,,,,,,,,
tas,Other_mining ,    Coke                   ,,,,,,,,,,,,,,,,,,,,,
tas,Other_mining ,    Coal byproducts        ,,,,,,,,,,,,,,,,,,,,,
tas,Other_mining ,    Brown coal briquettes,,,,,,,,,,,,,,,,,,,,,
tas,Other_mining ,"    Wood, woodwaste        ",,,,,,,,,,,,,,,,,,,,,
tas,Other_mining ,    Bagasse                ,,,,,,,,,,,,,,,,,,,,,
tas,Other_mining ,    Crude Oil and Other Refinery Feedstock,,,,,,,,,,,,,,,,,,,,,
tas,Other_mining ,    LPG                    ,,,,,,,,,,,,,,,,,,,,,
tas,Other_mining ,    Auto gasoline-leaded   ,,,,,,,,,,,,,,,,,,,,,
tas,Other_mining ,    Auto gasoline-unleaded ,,,,,,,,,,,,,,,,,,,,,
tas,Other_mining ,    Aviation gasoline      ,,,,,,,,,,,,,,,,,,,,,
tas,Other_mining ,    Aviation turbine fuel  ,,,,,,,,,,,,,,,,,,,,,
tas,Other_mining ,    Kerosene and Heating oil  ,,,,,,,,,,,,,,,,,,,,,
tas,Other_mining ,    Diesel                    ,,,,,,,,,,,,,,,,,,,,,
tas,Other_mining ,    Fuel oil               ,,,,,,,,,,,,,,,,,,,,,
tas,Other_mining ,    Petroleum products nec ,,,,,,,,,,,,,,,,,,,,,
tas,Other_mining ,    Solvents               ,,,,,,,,,,,,,,,,,,,,,
tas,Other_mining ,    Lubricants and greases   ,,,,,,,,,,,,,,,,,,,,,
tas,Other_mining ,    Bitumen                ,,,,,,,,,,,,,,,,,,,,,
tas,Other_mining ,    Natural gas            ,,,,,,,,,,,,,,,,,,,,,
tas,Other_mining ,    Town gas               ,,,,,,,,,,,,,,,,,,,,,
tas,Other_mining ,    Solar energy           ,,,,,,,,,,,,,,,,,,,,,
tas,Other_mining ,    Electricity            ,,,,,0.8,1.4,1.5,1.5,1.6,1.7,1.7,1.6,1.8,1.9,1.8,1.7,1.5,1.5,1.3,1.5,1.6
tas,Other_mining ,    Liquid/gas Biofuels               ,,,,,,,,,,,,,,,,,,,,,
tas,Other_mining ,,,,,,,,,,,,,,,,,,,,,,
tas,Other_mining ,,    Coke                   ,,,,,,,,,,,,,,,,,,,,
tas,Other_mining ,,    Coal byproducts        ,,,,,,,,,,,,,,,,,,,,
tas,Other_mining ,,    Brown coal briquettes  ,,,,,,,,,,,,,,,,,,,,
tas,Other_mining ,,    Refinery feedstock     ,,,,,,,,,,,,,,,,,,,,
tas,Other_mining ,,    LPG                    ,,,,,,,,,,,,,,,,,,,,
tas,Other_mining ,,    Auto gasoline-leaded   ,,,,,,,,,,,,,,,,,,,,
tas,Other_mining ,,    Auto gasoline-unleaded ,,,,,,,,,,,,,,,,,,,,
tas,Other_mining ,,    Aviation gasoline      ,,,,,,,,,,,,,,,,,,,,
tas,Other_mining ,,    Aviation turbine fuel  ,,,,,,,,,,,,,,,,,,,,
tas,Other_mining ,,    Kerosene and Heating oil                    ,,,,,,,,,,,,,,,,,,,,
tas,Other_mining ,,    Diesel                    ,,,,,,,,,,,,,,,,,,,,
tas,Other_mining ,,    Fuel oil               ,,,,,,,,,,,,,,,,,,,,
