Location,Industry, Fuels consumed,Fuels produced,Energy consumption       ,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19
qld,Mining                                    ,,,Energy consumption,51.5,56.7,63.4,66.5,75.9,70.8,70.7,75.6,80.3,86.5,91,104.4,118.2,122.5,131.6,173.8,222.7,242.3,255.4
qld,Coal_mining ,,,,,,,,,,,,,,,,,,,,,,
qld,Coal_mining ,,,,,,,,,,,,,,,,,,,,,,
qld,Coal_mining ,,,,,,,,,,,,,,,,,,,,,,
qld,Coal_mining ,    Black coal             ,,,,,,,,,,,,,,,,,,,,,
qld,Coal_mining ,    Brown coal             ,,,,,,,,,,,,,,,,,,,,,
qld,Coal_mining ,    Coke                   ,,,,,,,,,,,,,,,,,,,,,
qld,Coal_mining ,    Coal byproducts        ,,,,,,,,,,,,,,,,,,,,,
qld,Coal_mining ,    Brown coal briquettes,,,,,,,,,,,,,,,,,,,,,
qld,Coal_mining ,"    Wood, woodwaste        ",,,,,,,,,,,,,,,,,,,,,
qld,Coal_mining ,    Bagasse                ,,,,,,,,,,,,,,,,,,,,,
qld,Coal_mining ,    Crude Oil and Other Refinery Feedstock,,,,,,,,,,,,,,,,,,,,,
qld,Coal_mining ,    LPG                    ,,,,,,,,,,,,,,,,,,,,,
qld,Coal_mining ,    Auto gasoline-leaded   ,,,,,,,,,,,,,,,,,,,,,
qld,Coal_mining ,    Auto gasoline-unleaded ,,,,,,,,,,,,,,,,,,,,,
qld,Coal_mining ,    Aviation gasoline      ,,,,,,,,,,,,,,,,,,,,,
qld,Coal_mining ,    Aviation turbine fuel  ,,,,,,,,,,,,,,,,,,,,,
qld,Coal_mining ,    Kerosene and Heating oil  ,,,,,,,,,,,,,,,,,,,,,
qld,Coal_mining ,    Diesel                    ,,,0,0,34.2,36.3,44.2,38.5,37,37.6,41,40.9,46.4,56.1,62.1,63.8,58.1,58.7,65.2,74.3,80.3
qld,Coal_mining ,    Fuel oil               ,,,,,,,,,,,,,,,,,,,,,
qld,Coal_mining ,    Petroleum products nec ,,,,,,,,,,,,,,,,,,,,,
qld,Coal_mining ,    Solvents               ,,,,,,,,,,,,,,,,,,,,,
qld,Coal_mining ,    Lubricants and greases   ,,,,,,,,,,,,,,,,,,,,,
qld,Coal_mining ,    Bitumen                ,,,,,,,,,,,,,,,,,,,,,
qld,Coal_mining ,    Natural gas            ,,,,,,,,,,,,,,,,,,,,,
qld,Coal_mining ,    Town gas               ,,,,,,,,,,,,,,,,,,,,,
qld,Coal_mining ,    Solar energy           ,,,,,,,,,,,,,,,,,,,,,
qld,Coal_mining ,    Electricity            ,,,,,10.6,10.7,10.8,10.8,11.2,11.2,11.7,11.3,11.2,11.3,12.2,13.1,13.5,13.4,13.9,13.6,14
qld,Coal_mining ,    Liquid/gas Biofuels               ,,,,,,,,,,,,,,,,,,,,,
qld,Coal_mining ,,,,,,,,,,,,,,,,,,,,,,
qld,Coal_mining ,,    Coke                   ,,,,,,,,,,,,,,,,,,,,
qld,Coal_mining ,,    Coal byproducts        ,,,,,,,,,,,,,,,,,,,,
qld,Coal_mining ,,    Brown coal briquettes  ,,,,,,,,,,,,,,,,,,,,
qld,Coal_mining ,,    Refinery feedstock     ,,,,,,,,,,,,,,,,,,,,
qld,Coal_mining ,,    LPG                    ,,,,,,,,,,,,,,,,,,,,
qld,Coal_mining ,,    Auto gasoline-leaded   ,,,,,,,,,,,,,,,,,,,,
qld,Coal_mining ,,    Auto gasoline-unleaded ,,,,,,,,,,,,,,,,,,,,
qld,Coal_mining ,,    Aviation gasoline      ,,,,,,,,,,,,,,,,,,,,
qld,Coal_mining ,,    Aviation turbine fuel  ,,,,,,,,,,,,,,,,,,,,
qld,Coal_mining ,,    Kerosene and Heating oil                    ,,,,,,,,,,,,,,,,,,,,
qld,Coal_mining ,,    Diesel                    ,,,,,,,,,,,,,,,,,,,,
qld,Coal_mining ,,    Fuel oil               ,,,,,,,,,,,,,,,,,,,,
qld,Coal_mining ,,    Petroleum products nec ,,,,,,,,,,,,,,,,,,,,
qld,Coal_mining ,,    Solvents               ,,,,,,,,,,,,,,,,,,,,
qld,Coal_mining ,,    Lubricants and greases   ,,,,,,,,,,,,,,,,,,,,
qld,Coal_mining ,,    Bitumen                ,,,,,,,,,,,,,,,,,,,,
qld,Coal_mining ,,    Town gas               ,,,,,,,,,,,,,,,,,,,,
qld,Coal_mining ,,    Thermal electricity    ,,,,,,,,,,,,,,,,,,,,
qld,Coal_mining ,,,Energy consumption,,,44.8,47,55.1,49.5,48.4,49,53.6,53.2,58.6,68.4,75.2,77.1,72.3,72.2,79.1,87.9,94.3
qld,Oil_and_gas,,,,,,,,,,,,,,,,,,,,,,
qld,Oil_and_gas,,,,,,,,,,,,,,,,,,,,,,
qld,Oil_and_gas,,,,,,,,,,,,,,,,,,,,,,
qld,Oil_and_gas,    Black coal             ,,,,,,,,,,,,,,,,,,,,,
qld,Oil_and_gas,    Brown coal             ,,,,,,,,,,,,,,,,,,,,,
qld,Oil_and_gas,    Coke                   ,,,,,,,,,,,,,,,,,,,,,
qld,Oil_and_gas,    Coal byproducts        ,,,,,,,,,,,,,,,,,,,,,
qld,Oil_and_gas,    Brown coal briquettes,,,,,,,,,,,,,,,,,,,,,
qld,Oil_and_gas,"    Wood, woodwaste        ",,,,,,,,,,,,,,,,,,,,,
qld,Oil_and_gas,    Bagasse                ,,,,,,,,,,,,,,,,,,,,,
qld,Oil_and_gas,    Crude Oil and Other Refinery Feedstock,,,,,0.2,0.2,0.7,0.8,0.8,0.8,0.6,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.4,0.4,0.3
qld,Oil_and_gas,    LPG                    ,,,,,,,,,,,,,,,,,,,,,
qld,Oil_and_gas,    Auto gasoline-leaded   ,,,,,,,,,,,,,,,,,,,,,
qld,Oil_and_gas,    Auto gasoline-unleaded ,,,,,,,,,,,,,,,,,,,,,
qld,Oil_and_gas,    Aviation gasoline      ,,,,,,,,,,,,,,,,,,,,,
qld,Oil_and_gas,    Aviation turbine fuel  ,,,,,,,,,,,,,,,,,,,,,
qld,Oil_and_gas,    Kerosene and Heating oil  ,,,,,,,,,,,,,,,,,,,,,
qld,Oil_and_gas,    Diesel                    ,,,,,,,,,,,,,,,,,,,,,
qld,Oil_and_gas,    Fuel oil               ,,,,,,,,,,,,,,,,,,,,,
qld,Oil_and_gas,    Petroleum products nec ,,,,,,,,,,,,,,,,,,,,,
qld,Oil_and_gas,    Solvents               ,,,,,,,,,,,,,,,,,,,,,
