Location,Industry, Fuels consumed,Fuels produced,Energy consumption       ,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19
wa,Coal_mining ,,    Coal byproducts        ,,,,,,,,,,,,,,,,,,,,
wa,Coal_mining ,,    Brown coal briquettes  ,,,,,,,,,,,,,,,,,,,,
wa,Coal_mining ,,    Refinery feedstock     ,,,,,,,,,,,,,,,,,,,,
wa,Coal_mining ,,    LPG                    ,,,,,,,,,,,,,,,,,,,,
wa,Coal_mining ,,    Auto gasoline-leaded   ,,,,,,,,,,,,,,,,,,,,
wa,Coal_mining ,,    Auto gasoline-unleaded ,,,,,,,,,,,,,,,,,,,,
wa,Coal_mining ,,    Aviation gasoline      ,,,,,,,,,,,,,,,,,,,,
wa,Coal_mining ,,    Aviation turbine fuel  ,,,,,,,,,,,,,,,,,,,,
wa,Coal_mining ,,    Kerosene and Heating oil                    ,,,,,,,,,,,,,,,,,,,,
wa,Coal_mining ,,    Diesel                    ,,,,,,,,,,,,,,,,,,,,
wa,Coal_mining ,,    Fuel oil               ,,,,,,,,,,,,,,,,,,,,
wa,Coal_mining ,,    Petroleum products nec ,,,,,,,,,,,,,,,,,,,,
wa,Coal_mining ,,    Solvents               ,,,,,,,,,,,,,,,,,,,,
wa,Coal_mining ,,    Lubricants and greases   ,,,,,,,,,,,,,,,,,,,,
wa,Coal_mining ,,    Bitumen                ,,,,,,,,,,,,,,,,,,,,
wa,Coal_mining ,,    Town gas               ,,,,,,,,,,,,,,,,,,,,
wa,Coal_mining ,,    Thermal electricity    ,,,,,,,,,,,,,,,,,,,,
wa,Coal_mining ,,,Energy consumption  ,,,,,,,,,,,,,,,,,,,
wa,Oil_and_gas,,,,,,,,,,,,,,,,,,,,,,
wa,Oil_and_gas,,,,,,,,,,,,,,,,,,,,,,
wa,Oil_and_gas,,,,,,,,,,,,,,,,,,,,,,
wa,Oil_and_gas,    Black coal             ,,,,,,,,,,,,,,,,,,,,,
wa,Oil_and_gas,    Brown coal             ,,,,,,,,,,,,,,,,,,,,,
wa,Oil_and_gas,    Coke                   ,,,,,,,,,,,,,,,,,,,,,
wa,Oil_and_gas,    Coal byproducts        ,,,,,,,,,,,,,,,,,,,,,
wa,Oil_and_gas,    Brown coal briquettes,,,,,,,,,,,,,,,,,,,,,
wa,Oil_and_gas,"    Wood, woodwaste        ",,,,,,,,,,,,,,,,,,,,,
wa,Oil_and_gas,    Bagasse                ,,,,,,,,,,,,,,,,,,,,,
wa,Oil_and_gas,    Crude Oil and Other Refinery Feedstock,,,,,,,,,,,,,,,,,,,,,
wa,Oil_and_gas,    LPG                    ,,,,,,,,,,,,,,,,,,,,,
wa,Oil_and_gas,    Auto gasoline-leaded   ,,,,,,,,,,,,,,,,,,,,,
wa,Oil_and_gas,    Auto gasoline-unleaded ,,,,,,,,,,,,,,,,,,,,,
wa,Oil_and_gas,    Aviation gasoline      ,,,,,,,,,,,,,,,,,,,,,
wa,Oil_and_gas,    Aviation turbine fuel  ,,,,,,,,,,,,,,,,,,,,,
wa,Oil_and_gas,    Kerosene and Heating oil  ,,,,,,,,,,,,,,,,,,,,,
wa,Oil_and_gas,    Diesel                    ,,,0,0,,,0.4,0.3,0.4,0.5,0.6,1.4,1.4,0.9,3,1.8,1.1,0.7,0.4,0.8,1.1
wa,Oil_and_gas,    Fuel oil               ,,,,,,,,,,,,,,,,,,,,,
wa,Oil_and_gas,    Petroleum products nec ,,,,,,,,,,,,,,,,,,,,,
wa,Oil_and_gas,    Solvents               ,,,,,,,,,,,,,,,,,,,,,
wa,Oil_and_gas,    Lubricants and greases   ,,,,,,,,,,,,,,,,,,,,,
wa,Oil_and_gas,    Bitumen                ,,,,,,,,,,,,,,,,,,,,,
wa,Oil_and_gas,    Natural gas            ,,,,,45.9,46,59.4,67.7,80.5,81.6,86.5,87.2,92.6,92.4,98.2,100.5,102.1,107.9,146.2,176.1,203.2
wa,Oil_and_gas,    Town gas               ,,,,,,,,,,,,,,,,,,,,,
wa,Oil_and_gas,    Solar energy           ,,,,,,,,,,,,,,,,,,,,,
wa,Oil_and_gas,    Electricity            ,,,,,5.1,4.9,5.6,6.5,6.9,6.5,6.8,8.2,9,9.2,9.3,14.5,11.2,12,13.9,16.9,19
wa,Oil_and_gas,    Liquid/gas Biofuels               ,,,,,,,,,,,,,,,,,,,,,
wa,Oil_and_gas,,,,,,,,,,,,,,,,,,,,,,
wa,Oil_and_gas,,    Coke                   ,,,,,,,,,,,,,,,,,,,,
wa,Oil_and_gas,,    Coal byproducts        ,,,,,,,,,,,,,,,,,,,,
wa,Oil_and_gas,,    Brown coal briquettes  ,,,,,,,,,,,,,,,,,,,,
wa,Oil_and_gas,,    Refinery feedstock     ,,,,,,,,,,,,,,,,,,,,
wa,Oil_and_gas,,    LPG                    ,,,,,,,,,,,,,,,,,,,,
wa,Oil_and_gas,,    Auto gasoline-leaded   ,,,,,,,,,,,,,,,,,,,,
wa,Oil_and_gas,,    Auto gasoline-unleaded ,,,,,,,,,,,,,,,,,,,,
wa,Oil_and_gas,,    Aviation gasoline      ,,,,,,,,,,,,,,,,,,,,
wa,Oil_and_gas,,    Aviation turbine fuel  ,,,,,,,,,,,,,,,,,,,,
wa,Oil_and_gas,,    Kerosene and Heating oil                    ,,,,,,,,,,,,,,,,,,,,
wa,Oil_and_gas,,    Diesel                    ,,,,,,,,,,,,,,,,,,,,
wa,Oil_and_gas,,    Fuel oil               ,,,,,,,,,,,,,,,,,,,,
wa,Oil_and_gas,,    Petroleum products nec ,,,,,,,,,,,,,,,,,,,,
wa,Oil_and_gas,,    Solvents               ,,,,,,,,,,,,,,,,,,,,
wa,Oil_and_gas,,    Lubricants and greases   ,,,,,,,,,,,,,,,,,,,,
wa,Oil_and_gas,,    Bitumen                ,,,,,,,,,,,,,,,,,,,,
wa,Oil_and_gas,,    Town gas               ,,,,,,,,,,,,,,,,,,,,
wa,Oil_and_gas,,    Thermal electricity    ,,,,,,,,,,,,,,,,,,,,
wa,Oil_and_gas,,,Energy consumption  ,,,51,50.9,65.7,74.9,88.2,88.9,94.3,97.1,103.3,102.9,110.8,117.1,114.5,121.1,161,194.2,223.3
wa,Other_mining ,,,,,,,,,,,,,,,,,,,,,,
wa,Other_mining ,,,,,,,,,,,,,,,,,,,,,,
wa,Other_mining ,,,,,,,,,,,,,,,,,,,,,,
wa,Other_mining ,    Black coal             ,,,,,,,,,,,,,,,,,,,,,
wa,Other_mining ,    Brown coal             ,,,,,,,,,,,,,,,,,,,,,
wa,Other_mining ,    Coke                   ,,,,,,,,,,,,,,,,,,,,,
wa,Other_mining ,    Coal byproducts        ,,,,,,,,,,,,,,,,,,,,,
wa,Other_mining ,    Brown coal briquettes,,,,,,,,,,,,,,,,,,,,,
wa,Other_mining ,"    Wood, woodwaste        ",,,,,,,,,,,,,,,,,,,,,
wa,Other_mining ,    Bagasse                ,,,,,,,,,,,,,,,,,,,,,
wa,Other_mining ,    Crude Oil and Other Refinery Feedstock,,,,,,,,,,,,,,,,,,,,,
wa,Other_mining ,    LPG                    ,,,,,0.2,0.2,0.3,0.3,0.2,0.3,0.4,0.4,0.4,0.7,0.5,0.5,0.4,0.5,0.5,0.5,0.5
wa,Other_mining ,    Auto gasoline-leaded   ,,,,,,,,,,,,,,,,,,,,,
wa,Other_mining ,    Auto gasoline-unleaded ,,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
wa,Other_mining ,    Aviation gasoline      ,,,,,,,,,,,,,,,,,,,,,
wa,Other_mining ,    Aviation turbine fuel  ,,,,,,,,,,,,,,,,,,,,,
wa,Other_mining ,    Kerosene and Heating oil  ,,,,,,,,,,,,,,,,,,,,,
wa,Other_mining ,    Diesel                    ,,,,,34.1,31.3,31.7,28.4,30.5,34.7,39,37.1,44.6,59.3,75.4,79.1,77.7,78.7,82.6,87.2,91.9
wa,Other_mining ,    Fuel oil               ,,,,,0,0,0,0,0,0,0.3,,,0,,0.4,0.5,0.4,0.5,0.4,0.3
wa,Other_mining ,    Petroleum products nec ,,,,,1.4,1.4,1.3,1.3,1.3,1.3,1.4,2.2,2.8,4.1,3.6,4.5,1.7,1.6,1.9,3.2,2.8
wa,Other_mining ,    Solvents               ,,,,,,,,,,,,,,,,,,,,,
wa,Other_mining ,    Lubricants and greases   ,,,,,,,,,,,,,,,,,,,,,
wa,Other_mining ,    Bitumen                ,,,,,,,,,,,,,,,,,,,,,
wa,Other_mining ,    Natural gas            ,,,,,2.6,2.4,1.6,2,2.2,2.5,2.2,1.6,1.9,5,6.1,5.3,4,4.1,4.7,4.3,4.6
wa,Other_mining ,    Town gas               ,,,,,,,,,,,,,,,,,,,,,
wa,Other_mining ,    Solar energy           ,,,,,,,,,,,,,,,,,,,,,
wa,Other_mining ,    Electricity            ,,,,,12,12.1,11.6,20.5,18.9,18.6,21.3,23.7,29.4,28.4,32.9,37.8,37.3,38.4,42,42.8,44.6
wa,Other_mining ,    Liquid/gas Biofuels               ,,,,,,,,,,,,,,,,,,,,,
wa,Other_mining ,,,,,,,,,,,,,,,,,,,,,,
wa,Other_mining ,,    Coke                   ,,,,,,,,,,,,,,,,,,,,
wa,Other_mining ,,    Coal byproducts        ,,,,,,,,,,,,,,,,,,,,
wa,Other_mining ,,    Brown coal briquettes  ,,,,,,,,,,,,,,,,,,,,
wa,Other_mining ,,    Refinery feedstock     ,,,,,,,,,,,,,,,,,,,,
wa,Other_mining ,,    LPG                    ,,,,,,,,,,,,,,,,,,,,
wa,Other_mining ,,    Auto gasoline-leaded   ,,,,,,,,,,,,,,,,,,,,
wa,Other_mining ,,    Auto gasoline-unleaded ,,,,,,,,,,,,,,,,,,,,
wa,Other_mining ,,    Aviation gasoline      ,,,,,,,,,,,,,,,,,,,,
wa,Other_mining ,,    Aviation turbine fuel  ,,,,,,,,,,,,,,,,,,,,
wa,Other_mining ,,    Kerosene and Heating oil                    ,,,,,,,,,,,,,,,,,,,,
wa,Other_mining ,,    Diesel                    ,,,,,,,,,,,,,,,,,,,,
wa,Other_mining ,,    Fuel oil               ,,,,,,,,,,,,,,,,,,,,
wa,Other_mining ,,    Petroleum products nec ,,,,,,,,,,,,,,,,,,,,
wa,Other_mining ,,    Solvents               ,,,,,,,,,,,,,,,,,,,,
wa,Other_mining ,,    Lubricants and greases   ,,,,,,,,,,,,,,,,,,,,
wa,Other_mining ,,    Bitumen                ,,,,,,,,,,,,,,,,,,,,
wa,Other_mining ,,    Town gas               ,,,,,,,,,,,,,,,,,,,,
wa,Other_mining ,,    Thermal electricity    ,,,,,,,,,,,,,,,,,,,,
wa,Other_mining ,,,Energy consumption  ,,,,,,,,,,,,,,,,,,,
wa,Manufacturing                             ,,,,,,,,,,,,,,,,,,,,,,
wa,Manufacturing                             ,,,,,,,,,,,,,,,,,,,,,,
wa,Manufacturing                             ,,,,,,,,,,,,,,,,,,,,,,
wa,Manufacturing                             ,    Black coal             ,,,20.9,21.3,27.2,27.9,26.3,26.8,27.8,28.6,25.8,23.6,23.8,24,29.2,29.7,26.9,29.9,34.5,34.2,34
wa,Manufacturing                             ,    Brown coal             ,,,,,,,,,,,,,,,,,,,,,
wa,Manufacturing                             ,    Coke                   ,,,,,,,,,,,,,,,,,,,,,
wa,Manufacturing                             ,    Coal byproducts        ,,,,,,,,,,,,,,,,,,,,,
wa,Manufacturing                             ,    Brown coal briquettes  ,,,,,,,,,,,,,,,,,,,,,
wa,Manufacturing                             ,"    Wood, woodwaste        ",,,4.5,4.5,3.5,3.6,3.6,3.6,3.6,3.7,2.9,2,2,2,3,3.1,2.6,2.5,3.2,2.5,2.4
wa,Manufacturing                             ,    Bagasse                ,,,1.3,1.3,1.3,1.3,1.3,1,0.9,,,,,,,,,,,,
wa,Manufacturing                             ,    Crude Oil and Other Refinery Feedstock,,,,,,,,,,,,,,,,,,,,,
wa,Manufacturing                             ,    LPG                    ,,,0.6,0.5,0.5,0.6,0.6,0.5,0.5,0.6,0.6,0.5,0.5,0.5,0.4,0.5,0.5,0.5,0.4,0.5,0.5
wa,Manufacturing                             ,    Auto gasoline-leaded   ,,,,,,,,,,,,,,,,,,,,,
wa,Manufacturing                             ,    Auto gasoline-unleaded ,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wa,Manufacturing                             ,    Aviation gasoline      ,,,,,,,,,,,,,,,,,,,,,
wa,Manufacturing                             ,    Aviation turbine fuel  ,,,,,,,,,,,,,,,,,,,,,
wa,Manufacturing                             ,    Kerosene and Heating oil  ,,,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.1,0.1,0.1,0,0,0
wa,Manufacturing                             ,    Diesel                    ,,,5.5,5.5,1,1.8,1.8,1.8,1.8,7.2,8.1,6.9,7,7.2,7.2,8.2,6.9,4.6,4.9,4.9,5.1
wa,Manufacturing                             ,    Fuel oil               ,,,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.7,0.6,0.6,1.2,0.6,0.8,0.7,0.8,0.7,0.9
wa,Manufacturing                             ,    Petroleum products nec ,,,26.1,27.9,27.8,29,16.1,15.4,14.2,15.2,14.6,14.9,29.3,36.3,29.6,28.1,26.2,24.4,23.8,23.5,22.9
wa,Manufacturing                             ,    Solvents               ,,,,,,,,,,,,,,,,,,,,,
wa,Manufacturing                             ,    Lubricants and greases   ,,,,,,,,,,,,,,,,,,,,,
wa,Manufacturing                             ,    Bitumen                ,,,,,,,,,,,,,,,,,,,,,
wa,Manufacturing                             ,    Natural gas            ,,,147.1,150.5,145.7,153.7,162.5,165.1,180.2,170.9,160.7,165.5,161,165.1,173.1,183.3,166.4,162.6,155.6,159,148.5
wa,Manufacturing                             ,    Town gas               ,,,,,,,,,,,,,,,,,,,,,
wa,Manufacturing                             ,    Solar energy           ,,,,,,,,,,,,,,,,,,,,,
wa,Manufacturing                             ,    Electricity            ,,,23.2,22,19.4,19.6,19.8,14.6,17.6,17.6,25.4,27.4,21.5,20.9,23.4,24.1,24.5,24,23.5,23.3,23.2
wa,Manufacturing                             ,    Liquid/gas Biofuels               ,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
wa,Manufacturing                             ,,,,,,,,,,,,,,,,,,,,,,
wa,Manufacturing                             ,,    Coke                   ,,,,,,,,,,,,,,,,,,,,
wa,Manufacturing                             ,,    Coal byproducts        ,,,,2.3,2,0.2,0,0,0,0,,,,,,,,,,
wa,Manufacturing                             ,,    Brown coal briquettes  ,,,,,,,,,,,,,,,,,,,,
wa,Manufacturing                             ,,    Refinery feedstock     ,,,,,,,,,,,,,,,,,,,,
wa,Manufacturing                             ,,    LPG                    ,,,,,,,,,,,,,,,,,,,,
wa,Manufacturing                             ,,    Auto gasoline-leaded   ,,,,,,,,,,,,,,,,,,,,
wa,Manufacturing                             ,,    Auto gasoline-unleaded ,,,,,,,,,,,,,,,,,,,,
wa,Manufacturing                             ,,    Aviation gasoline      ,,,,,,,,,,,,,,,,,,,,
wa,Manufacturing                             ,,    Aviation turbine fuel  ,,,,,,,,,,,,,,,,,,,,
wa,Manufacturing                             ,,    Kerosene and Heating oil                    ,,,,,,,,,,,,,,,,,,,,
wa,Manufacturing                             ,,    Diesel                    ,,,,,,,,,,,,,,,,,,,,
wa,Manufacturing                             ,,    Fuel oil               ,,,,,,,,,,,,,,,,,,,,
wa,Manufacturing                             ,,    Petroleum products nec ,,,,,,,,,,,,,,,,,,,,
wa,Manufacturing                             ,,    Solvents               ,,,,,,,,,,,,,,,,,,,,
